track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Sure Thing,Miguel,1,2010,5,25,13801,19,950906471.00,137,125,81,B,Minor,68,51,60,3,0,19,10
Enchanted,Taylor Swift,1,2010,1,1,4564,16,621660989.00,24,101,164,G#,Major,45,24,62,8,0,16,3
Es un Secreto,Plan B,1,2010,7,20,492,36,540654286.00,4,3,95,F#,Minor,84,52,77,12,0,7,4
Can't Hold Us (feat. Ray Dalton),Ray Dalton,3,2011,8,16,6074,52,1953533826.00,201,44,146,D,Major,63,88,93,3,0,10,8
Somebody That I Used To Know,Gotye,2,2011,1,1,42798,0,1457139296.00,217,136,129,,Major,86,75,52,54,0,10,4
We Found Love,Rihanna,2,2011,1,1,36843,21,1235005533.00,321,91,128,C#,Major,73,60,77,3,0,11,4
Set Fire to the Rain,Adele,1,2011,1,1,14739,43,1163620694.00,88,112,108,D,Minor,61,47,68,0,0,13,3
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508.00,89,143,112,C#,Minor,56,24,66,7,0,12,3
It's Beginning To Look A Lot Like Christmas,Michael Bubl,1,2011,10,14,12353,0,807561936.00,35,0,93,E,Major,35,38,23,91,0,29,3
Mistletoe,Justin Bieber,1,2011,1,1,9577,0,629173063.00,195,111,162,F#,Minor,67,88,54,51,0,9,4
Holly Jolly Christmas,Michael Bubl,1,2011,10,14,7655,0,476244795.00,5,0,151,G,Major,65,70,47,87,0,9,4
Bloody Mary,Lady Gaga,1,2011,1,1,3909,0,372476382.00,66,26,100,A,Minor,59,49,65,2,0,13,3
Radio,Lana Del Rey,1,2011,1,1,9389,46,284819874.00,24,122,150,D,Major,42,20,86,21,0,9,9
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485.00,166,87,124,A#,Major,61,41,81,5,2,10,3
Demons,Imagine Dragons,1,2012,1,1,26694,13,1840364617.00,65,82,180,D#,Major,33,38,71,20,0,28,5
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666.00,250,122,123,E,Minor,45,13,54,70,0,9,4
When I Was Your Man,Bruno Mars,1,2012,12,5,2420,11,1661187319.00,0,0,145,,Major,60,43,27,94,0,14,4
Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1622,9,1481349984.00,0,0,144,F,Major,73,87,70,6,0,28,5
Payphone,Maroon 5,2,2012,1,1,14143,4,1479264469.00,56,38,110,E,Major,74,51,74,2,0,29,4
Money Trees,Kendrick Lamar,2,2012,1,1,26792,32,1093605526.00,69,113,144,E,Minor,74,37,53,7,0,21,10
Lover,Taylor Swift,1,2012,1,1,8448,23,882831184.00,160,110,206,G,Major,43,50,55,50,0,15,10
Lost,Frank Ocean,1,2012,1,1,29499,11,822239726.00,124,27,123,A#,Minor,91,49,61,3,0,17,22
MONTAGEM - FR PUNK,Ayparia,2,2012,6,20,641,50,58054811.00,1,52,129,A,Major,63,84,82,70,8,9,7
Take Me To Church,Hozier,1,2013,9,13,23804,31,2135158446.00,187,99,129,E,Minor,57,41,66,63,0,12,5
All of Me,John Legend,1,2013,8,1,27221,0,2086124197.00,308,118,120,G#,Major,42,33,26,92,0,13,3
Counting Stars,OneRepublic,1,2013,1,1,29215,43,2011464183.00,179,97,122,C#,Minor,66,48,71,6,0,12,4
Wake Me Up - Radio Edit,Avicii,1,2013,1,1,50887,34,1970673297.00,315,160,124,D,Major,53,66,78,0,0,16,5
Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,26,1788326445.00,133,92,85,F,Major,55,42,53,17,0,22,3
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226.00,24,98,135,,Minor,48,44,42,12,2,11,3
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,23389,29,1267333350.00,54,70,92,D,Major,70,81,63,4,0,8,4
Get Lucky - Radio Edit,Pharrell Williams,3,2013,1,1,52898,0,933815613.00,203,1,116,F#,Minor,79,87,81,4,0,10,4
Santa Tell Me,Ariana Grande,1,2013,12,13,9408,0,834129063.00,231,106,133,G,Major,46,53,63,5,0,30,18
Bound 2,Kanye West,1,2013,1,1,19806,7,703301727.00,33,11,149,C#,Major,37,28,66,14,0,9,5
Underneath the Tree,Kelly Clarkson,1,2013,10,25,6596,0,485285717.00,144,99,160,G#,Major,51,69,81,0,0,21,5
Ginseng Strip 2002,Yung Lean,1,2013,8,16,4310,0,240769997.00,13,0,115,C#,Major,60,37,71,8,0,48,4
Thinking with My Dick,Kevin Gates,2,2013,7,16,1550,0,109091573.00,0,0,81,,Major,77,68,70,6,0,17,20
Thinking Out Loud,Ed Sheeran,1,2014,1,1,33032,0,2280566092.00,363,129,79,D,Major,78,58,45,47,0,18,3
Photograph,Ed Sheeran,1,2014,6,20,18778,3,2236667932.00,228,105,108,E,Major,61,20,38,61,0,10,5
No Role Modelz,J. Cole,1,2014,12,9,21164,36,1791000570.00,80,65,100,A#,Minor,70,47,52,30,0,6,33
I'm Not The Only One,Sam Smith,1,2014,1,1,17492,3,1606986953.00,136,24,82,F,Major,68,50,49,56,0,8,4
The Nights,Avicii,1,2014,1,1,17354,8,1456081449.00,92,122,126,F#,Major,53,66,85,2,0,24,4
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075.00,154,123,96,F,Major,75,57,68,9,0,13,6
Night Changes,One Direction,1,2014,11,17,7124,18,1131090940.00,60,20,120,G#,Major,67,40,52,86,0,12,4
Shake It Off,Taylor Swift,1,2014,1,1,21335,13,1113838873.00,328,70,160,G,Major,65,95,80,5,0,41,16
I Love You So,The Walters,1,2014,11,28,7536,7,972164968.00,44,19,76,A#,Major,58,46,67,65,0,13,4
Style,Taylor Swift,1,2014,1,1,7830,42,786181836.00,94,111,95,D,Major,60,48,79,0,0,12,4
After Dark,Mr.Kitty,1,2014,8,8,1776,14,646886885.00,1,9,140,G#,Major,58,4,60,7,41,8,3
Only Love Can Hurt Like This,Paloma Faith,1,2014,1,1,5148,0,588955257.00,90,22,91,G#,Major,57,30,89,10,0,33,8
Lovers Rock,TV Girl,1,2014,6,5,6339,13,466231982.00,3,1,105,F,Minor,56,57,87,0,1,10,4
Love Yourself,Justin Bieber,1,2015,11,9,22730,5,2123309722.00,289,87,100,E,Major,61,53,38,84,0,28,44
The Hills,The Weeknd,1,2015,5,27,25744,4,1947371785.00,122,94,136,,Minor,36,12,57,9,0,14,8
The Night We Met,Lord Huron,1,2015,2,2,18515,35,1410088830.00,70,82,174,D,Major,45,10,37,97,25,64,4
Daddy Issues,The Neighbourhood,1,2015,10,30,9771,4,1127468248.00,42,70,85,A#,Major,59,33,52,7,15,12,3
Wait a Minute!,Willow,1,2015,1,11,11985,0,924193303.00,79,80,101,D#,Minor,76,63,71,3,0,10,3
Freaks,Surf Curse,1,2015,5,10,3006,3,824420218.00,23,21,180,A,Major,35,41,94,0,63,5,5
Space Song,Beach House,1,2015,1,1,17852,4,789753877.00,69,76,147,,Minor,51,62,79,22,13,14,3
Cool for the Summer,Demi Lovato,1,2015,1,1,9243,0,677389855.00,155,5,114,F,Minor,59,30,62,1,0,8,4
Atlantis,Seafret,1,2015,4,22,3045,6,571386359.00,43,53,166,G#,Minor,40,23,48,5,0,12,3
Alien Blues,Vundabar,1,2015,7,24,1930,0,370068639.00,3,0,82,D#,Major,47,44,76,8,91,9,3
Makeba,Jain,1,2015,6,22,6060,53,165484133.00,150,148,116,D,Major,82,40,66,39,51,25,7
One Dance,Drake,3,2016,4,4,43257,24,2713922350.00,433,107,104,C#,Major,77,36,63,1,0,36,5
Closer,The Chainsmokers,2,2016,5,31,28032,0,2591224264.00,315,159,95,G#,Major,75,64,52,41,0,11,3
Starboy,The Weeknd,2,2016,9,21,29536,79,2565529693.00,281,137,186,G,Major,68,49,59,16,0,13,28
Say You Won't Let Go,James Arthur,1,2016,9,9,15722,16,2420461338.00,231,37,99,A#,Major,40,45,56,69,0,9,5
There's Nothing Holdin' Me Back,Shawn Mendes,1,2016,9,23,12382,0,1714490998.00,229,57,122,D,Major,86,97,80,36,0,9,6
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401.00,68,21,134,C#,Minor,59,51,52,9,0,15,7
No Lie,Sean Paul,2,2016,11,18,7370,0,956865266.00,92,127,102,G,Major,74,45,89,5,0,26,13
Unstoppable,Sia,1,2016,1,21,7681,13,939844851.00,119,66,174,A,Major,47,27,78,11,0,10,8
Pink + White,Frank Ocean,1,2016,8,20,21574,30,806397070.00,112,68,160,A,Major,54,54,55,67,0,42,11
Reminder,The Weeknd,1,2016,11,25,6518,17,684675814.00,45,85,160,G#,Major,71,40,50,16,0,16,22
Stargirl Interlude,The Weeknd,2,2016,11,24,1275,32,611700552.00,13,8,90,F,Minor,59,52,48,38,5,10,11
House Of Memories,Panic! At The Disco,1,2016,1,15,2948,0,582863434.00,10,2,110,B,Minor,51,48,82,0,0,5,3
"Sex, Drugs, Etc.",Beach Weather,1,2016,11,4,3006,16,480507035.00,47,60,144,E,Minor,57,47,84,1,1,52,4
Me and Your Mama,Childish Gambino,1,2016,11,10,8775,0,445590495.00,33,60,118,F,Major,56,25,45,1,3,7,3
Notion,The Rare Occasions,1,2016,8,5,2393,0,421135627.00,22,13,160,A,Major,31,30,88,7,0,8,8
Selfish,PnB Rock,1,2016,6,23,2468,0,380319238.00,15,0,102,C#,Minor,64,4,60,11,0,19,4
Pope Is a Rockstar,SALES,1,2016,4,20,1966,0,156658366.00,4,2,90,E,Minor,73,31,45,85,24,11,3
"Hey, Mickey!",Baby Tate,1,2016,9,27,482,0,122763672.00,9,1,135,D,Major,92,73,51,55,0,15,6
Shape of You,Ed Sheeran,1,2017,1,6,32181,10,3562543890.00,33,0,96,C#,Minor,83,93,65,58,0,9,8
Believer,Imagine Dragons,1,2017,1,31,18986,23,2594040133.00,250,121,125,A#,Minor,77,74,78,4,0,23,11
Perfect,Ed Sheeran,1,2017,1,1,16596,13,2559529074.00,7,0,95,G#,Major,60,17,45,16,0,11,2
lovely - Bonus Track,Billie Eilish,2,2017,8,11,15032,30,2355719893.00,221,96,115,E,Minor,35,12,30,93,0,10,3
Lucid Dreams,Juice WRLD,1,2017,6,15,14749,0,2288695111.00,188,34,84,B,Minor,44,22,48,38,0,33,24
Something Just Like This,The Chainsmokers,2,2017,2,22,23375,21,2204080728.00,336,188,103,B,Minor,61,47,65,3,0,17,4
HUMBLE.,Kendrick Lamar,1,2017,3,30,33206,1,1929770265.00,284,114,150,C#,Minor,91,42,60,0,0,9,12
One Kiss (with Dua Lipa),Calvin Harris,2,2017,6,2,27705,10,1897517891.00,537,122,124,A,Minor,79,59,86,4,0,8,11
Cold Heart - PNAU Remix,Dua Lipa,3,2017,11,10,21097,52,1605224506.00,384,135,116,C#,Major,80,92,80,4,0,10,3
Beggin,Mne,1,2017,12,8,8559,0,1367810478.00,183,64,134,B,Minor,71,59,80,13,0,36,5
